# ----------------------------------------
# 网页和屏幕: 网页路径和屏幕类
# 账号：linkdolls
# 媒体资源：linkdolls-new - GA4
# ----------------------------------------
# 
# 所有用户
# 开始日期：20260301
# 结束日期：20260331
网页路径和屏幕类,浏览次数,活跃用户,每位活跃用户的浏览量,每位活跃用户的平均互动时长,事件数,关键事件数,总收入
/collections/monster-hentai-sex-doll,235,80,2.9375,43.3375,708,92,0
/blogs/dolls-info-qustions,234,40,5.85,105.4,1000,179,0
/de/collections/bbw-sex-doll-torso,229,69,3.318840579710145,61.231884057971016,631,90,0
/products/f2384a-163cm5-3ft-70kg-53kg-g-cup-s6-best-big-ass-silicone-head-real-bbw-sex-doll-booty-2025丨sy-doll,229,210,1.0904761904761904,45.128571428571426,1066,44,0
/pages/full-doll,227,181,1.2541436464088398,20.093922651933703,1159,206,0
/products/f2588-165cm-5ft4-g-cup-realistic-silicone-sex-doll-irontech-doll,227,166,1.3674698795180722,62.83132530120482,1161,99,0
/collections/bbw-latina-sex-doll,226,65,3.476923076923077,48.66153846153846,689,78,0
/collections/ai-sex-doll,225,102,2.2058823529411766,30.254901960784313,771,74,0
/collections/medium-torso,223,68,3.2794117647058822,59.661764705882355,572,91,0
/en-ca/collections/huge-breasts-sex-dolls,221,33,6.696969696969697,82.51515151515152,550,77,0
/en-ca/collections/vajankle-foot-fetish-toys,220,112,1.9642857142857142,32.732142857142854,857,71,0
/products/t665-32lbs-luxury-super-realistic-silicone-torso-sex-doll,220,133,1.6541353383458646,94.21804511278195,1115,75,0
/collections/torso-sex-doll-with-gel-breasts,219,84,2.607142857142857,31.86904761904762,697,67,0
/products/f5707k-168cm-5ft6-40kg-a-cup-rabbit-police-officer-anime-best-animal-hentai-sex-doll-in-stock-castle-doll,218,195,1.117948717948718,31.78974358974359,983,48,0
/collections/sex-doll-feet,216,95,2.2736842105263158,43.97894736842105,803,75,0
/pages/ai-robot-function-videos,213,174,1.2241379310344827,48.798850574712645,963,117,0
/collections/silver-fox-male-sex-doll,210,88,2.3863636363636362,37.29545454545455,684,100,0
/collections/100-299,209,47,4.446808510638298,63.148936170212764,421,32,0
/products/p381-3-15lbs-meru-the-succubus-onahole-fake-pussy-silicone-anime-hentai-sex-doll-mrl,208,195,1.0666666666666667,20.18974358974359,1102,50,0
/collections/firefly-diary,207,47,4.404255319148936,76.57446808510639,553,80,0
/products/a720-103-6lb-doggy-style-bbw-1-1-fat-big-ass-sex-doll-torso,206,180,1.1444444444444444,42.2,996,79,0
/products/t681-61lbbig-boots-sex-doll-torso,206,180,1.1444444444444444,69.96666666666667,1075,109,0
/products/t666-39-7lbs-luxury-super-realistic-human-size-silicone-torso-sex-doll,205,123,1.6666666666666667,85.34959349593495,1031,67,0
/pages/real-lady,203,175,1.16,38.59428571428571,852,120,0
/collections/naked-sex-doll,201,105,1.9142857142857144,29.714285714285715,784,94,0
/products/a418-8lb-sexy-and-real-fat-lady-ass-realistic-chubby-sex-doll-torso,201,185,1.0864864864864865,36.32432432432432,923,31,0
/collections/european-sex-dolls,199,40,4.975,71.1,439,54,0
/en-ca/pages/sex-doll-videos,199,148,1.3445945945945945,75.05405405405405,923,67,0
/de/collections/anime-sex-doll,198,83,2.3855421686746987,32.91566265060241,688,103,0
/collections/europe-sex-doll-heads-1,197,85,2.3176470588235296,53.305882352941175,528,58,0
/pages/video-18,197,163,1.2085889570552146,39.45398773006135,848,127,0
/collections/full-round-huge-breast-sex-doll,196,79,2.481012658227848,41.18987341772152,619,107,0
/collections/young-male-sex-doll,195,72,2.7083333333333335,49.05555555555556,508,54,0
/ja/blogs/dolls-info-qustions/how-to-make-fake-pussy,193,164,1.1768292682926829,37.38414634146341,1013,27,0
/products/f8000-150cm-5ft-27-5kg-silicone-anime-hentai-sex-doll-elsa-babe,193,203,0.9507389162561576,46.30049261083744,884,29,0
/collections/black-sex-doll-luxury,192,123,1.5609756097560976,33.146341463414636,808,132,0
/products/f5546-153cm-5ft-28kg-silicone-anime-hentai-male-sex-dolls-elsa-babe,191,181,1.0552486187845305,36.646408839779006,903,23,0
/collections/aitia,190,55,3.4545454545454546,73.12727272727273,691,157,0
/pages/sex-doll-review-video-collection,190,154,1.2337662337662338,11.142857142857142,936,145,0
/products/f1444-163cm5f3-52kg-e-cup-best-big-ass-chubby-tpe-life-size-bbw-sex-doll-in-stock-usa-aibei-doll,190,148,1.2837837837837838,47.445945945945944,873,50,0
