# ----------------------------------------
# 网页和屏幕: 网页路径和屏幕类
# 账号：linkdolls
# 媒体资源：linkdolls-new - GA4
# ----------------------------------------
# 
# 所有用户
# 开始日期：20260401
# 结束日期：20260430
网页路径和屏幕类,浏览次数,活跃用户,每位活跃用户的浏览量,每位活跃用户的平均互动时长,事件数,关键事件数,总收入,平均会话时长,跳出率,加入购物车的商品数,结账次数
/en-ca/collections/vajankle-foot-fetish-toys,226,117,1.9316239316239316,22.17094017094017,903,91,0,55.77437278333333,0.18333333333333332,0,0
/collections/anime-elf-sex-doll,225,101,2.227722772277228,29.534653465346533,749,90,0,65.41626731858408,0.10619469026548672,0,0
/products/f2384a-163cm5-3ft-70kg-53kg-g-cup-s6-best-big-ass-silicone-head-real-bbw-sex-doll-booty-2025丨sy-doll,225,216,1.0416666666666667,44.648148148148145,1056,51,0,69.96542290212766,0.02127659574468085,0,0
/collections/hyper-realistic-sex-doll,224,110,2.036363636363636,41.32727272727273,912,144,0,68.47752028225807,0.1774193548387097,0,0
/collections/climax-doll,222,60,3.7,65.2,559,64,0,120.21759608219178,0.0547945205479452,0,0
/collections/ai-sex-doll,221,106,2.0849056603773586,36.56603773584906,829,86,0,74.7558519909091,0.35454545454545455,0,0
/collections/medium-torso,219,83,2.63855421686747,42.98795180722892,597,69,0,71.05411022093023,0.011627906976744186,0,0
/collections/tpe-sex-dolls,217,51,4.254901960784314,61.11764705882353,570,46,0,99.8753693939394,0.12121212121212122,0,0
/en-ca/collections/sex-doll-torso-dildo-for-woman,216,55,3.9272727272727272,64.18181818181819,559,59,0,104.13197263157896,0.05263157894736842,0,0
/collections/halloween-sex-doll,214,46,4.6521739130434785,54.34782608695652,683,99,0,342.04533570833337,0.1875,0,0
/products/a660-25-5lbsuper-elastic-butt-sexy-and-real-realistic-ass-sex-doll-torso,214,174,1.2298850574712643,50.293103448275865,1075,87,0,82.25434739408867,0.059113300492610835,3,0
/blogs/dolls-info-qustions,211,44,4.795454545454546,86.47727272727273,930,177,0,152.27012857352943,0.1323529411764706,0,0
/products/f9285-178cm-5ft10-63kg-p-cup-ros-silicone-giant-sex-doll-doll-castle,211,170,1.2411764705882353,55.48823529411764,994,70,0,84.85625771657755,0,0,0
/collections/black-sex-doll-luxury,209,114,1.8333333333333333,41.73684210526316,865,136,0,53.11510306299213,0.031496062992125984,0,0
/collections/yl-doll,208,34,6.117647058823529,67.47058823529412,460,56,0,142.92591910526315,0.13157894736842105,0,0
/products/a599-83lb-coco-sucking-doggy-style-bbw-big-booty-sex-doll-torso-luxury-realistic-biggest-ass-sex-toy,208,208,1,32.28365384615385,1018,34,0,77.89746061926606,0.0779816513761468,0,0
/collections/asia-sex-doll-heads-1,203,60,3.3833333333333333,42.583333333333336,459,42,0,61.37399837704918,0,0,0
/products/f8000-150cm-5ft-27-5kg-silicone-anime-hentai-sex-doll-elsa-babe,203,198,1.0252525252525253,59.621212121212125,949,55,0,75.78827613043478,0.004830917874396135,4,0
/collections/starpery-doll-videos,202,60,3.3666666666666667,103.31666666666666,965,189,0,177.38977356716418,0.029850746268656716,0,0
/products/58313-2lb-27-5-sex-doll-legs,202,181,1.1160220994475138,35.10497237569061,995,57,0,60.15981967724868,0.20105820105820105,3,0
/products/f5425-elsa-babe-hentai-anime-waifu-sex-dolls-silicone-head-150cm-27-5kg,202,182,1.10989010989011,60.42307692307692,960,35,0,110.18239957360406,0.030456852791878174,4,0
/collections/ass-only,201,56,3.5892857142857144,50.517857142857146,593,111,0,73.31347238983051,0.01694915254237288,0,0
/collections/funwest-doll,201,44,4.568181818181818,97.04545454545455,502,60,0,117.55230315686275,0.0784313725490196,0,0
/collections/zelex®-sle-doll-videos,201,71,2.8309859154929575,113.4225352112676,944,168,0,192.65685111764705,0.03529411764705882,0,0
/collections/aitia,198,26,7.615384615384615,200.15384615384616,615,163,0,159.41454291489362,0.02127659574468085,0,0
/collections/young-male-sex-doll,196,72,2.7222222222222223,36.083333333333336,531,58,0,46.011724083333334,0.05555555555555555,0,0
/products/t681-61lbbig-boots-sex-doll-torso,196,109,1.798165137614679,100.37614678899082,996,82,0,151.6416643486842,0.03289473684210526,10,0
/collections/cheap-sex-toys-1,195,69,2.8260869565217392,31.855072463768117,594,37,0,174.97089662820514,0.15384615384615385,0,0
/collections/md-doll,195,46,4.239130434782608,48.45652173913044,549,70,0,99.85139630508475,0.2033898305084746,0,0
/products/f5425-150cm-5ft-27-5kg-silicone-anime-hentai-sex-dolls-elsa-babe,194,162,1.1975308641975309,63.32716049382716,927,53,0,99.3929224072165,0.14432989690721648,3,0
/collections/mrl-doll,189,88,2.147727272727273,28.875,711,76,0,82.48666137777778,0.2111111111111111,0,0
/en-ca/collections/femboys-sex-doll,189,82,2.3048780487804876,27.317073170731707,690,81,0,85.0696071954023,0.19540229885057472,0,0
/collections/se-doll,181,35,5.171428571428572,108.42857142857143,416,48,0,1024.3162162244898,0.04081632653061224,0,0
/collections/onahole,180,76,2.3684210526315788,34.85526315789474,650,68,0,62.535616841463415,0.32926829268292684,0,0
/en-ca/collections/furry-sex-doll,180,68,2.6470588235294117,38.25,621,45,0,85.5818891,0.18571428571428572,0,0
/collections/firefly-diary,178,46,3.869565217391304,50.30434782608695,566,95,0,112.14745771874999,0.09375,0,0
/en-ca/collections/sex-doll-videos,177,87,2.0344827586206895,39.206896551724135,748,109,0,119.16133012121213,0.1111111111111111,0,0
/products/t908k-climax-doll-classic-big-sex-breast-bbw-sex-doll-torso-tpe-gel-94-8-lbs-cinnamon-in-stock-us,177,171,1.0350877192982457,28.71345029239766,794,29,0,47.83996703932585,0.016853932584269662,2,0
/products/f5546-153cm-5ft-28kg-silicone-anime-hentai-male-sex-dolls-elsa-babe,176,148,1.1891891891891893,57.472972972972975,831,12,0,279.1344406744186,0.13953488372093023,1,0
/blogs/dolls-info-qustions/shocking-in-depth-review-of-naimi-1-1-celebrity-sex-doll,173,120,1.4416666666666667,38.125,913,63,0,88.61862922131148,0.18032786885245902,0,0
/en-ca/collections/shemale-sex-doll-torso-1,172,66,2.606060606060606,37.803030303030305,600,75,0,101.44275645833333,0.1111111111111111,0,0
